문장,분류,인식,기대
서비스업 업황은 운수업과 숙박업을 중심으로 호전세를 보였으나 지난달에는 식료품 가격이 오르고 구제역 및 AI가 확산되면서 다소 주춤했다.,2,3,0
"정부 ""감자·무 대거 풀고, 석유류 가격 안정화 추진""",2,3,2
정부는 수급조절 등 가격 안정대책을 지속적으로 추진할 방침이다.,1,2,2
"파월 의장은 이날 미국 보스턴에서 개최된 전미기업경제협회 연설에서 ""실업률은 50년 이래 최저 수준이고, 인플레이션은 연준 목표치인 2% 수준""이라며 ""2020년까지 실업률은 4% 이하에 머물고 인플레이션도 2% 근처일 것""이라고 전망했다.",1,2,2
"사실 이런 상황에서는 인텔 CPU에 대한 수요가 줄어들어 가격이 내려가는 것이 맞지만, 인텔 역시 이에 대응하기 위해 6코어 소비자용 CPU와 10-18코어 고성능 CPU를 14nm 공정으로 생산하면서 반대로 웨이퍼 부족 현상은 개선될 기미를 보이지 않고 있습니다.",17,2,3
공공물가 상승률이 낮게 유지된 것도 물가 상승을 제약했다.,1,2,0
"LG디스플레이, 바닥은 벗어나는 중···3Q LCD 패널 가격 안정세 - 하이투자증권",17,2,0
고양시청 고양시 쓰레기 종량제 봉투 가격은 2009년 20ℓ 기준 450원으로 인상한 이후 물가 및 인건비 상승에 따른 가격 인상을 하지 못했다.,5,2,0
"국제유가가 오르면서 석유류와 공업제품 등의 물가가 급등했지만, 밥상 물가가 안정세를 보이면서 전체 소비자물가는 1% 상승폭에 그쳤다.",1,2,0
"반도체의 경우 메모리 가격 하락세가 멈췄지만, 전년 동월 대비로는 여전히 낮은 수준인 영향이 컸다.",17,2,0
언제 어디서나 만날 수 있는 내 손안에 아시아경제 하루 한개씩 반값세일!!,10,1,0
"휴대폰 부품관련주들은 1분기를 기점으로 실적 회복신호가 나타나고 있다는 분석으로 한성엘컴텍이 가격제한폭까지 올랐고, 세코닉스 삼성테크윈 인탑스 오름세를 유지했다.",16,3,0
"""쌀 적정가격 지켜야…文정부서 20만원 선 유지"" 송영길 더불어민주당 대표가 28일 오전 서울 여의도 국회 의원회관에서 열린 쌀 시장 격리 당정협의에서 발언하고 있다.",2,1,2
"가격을 최대한 낮추고 품질을 어느 정도 유지해 가격 대비 품질, 즉 가성비를 높였다는 점에 소비자가 긍정적으로 반응하고 있기 때문이라고 전문가들은 분석했다.",0,1,0
"조경록 소비자원 시험분석국 팀장은 “가격이 비싸다고 공기청정기 주요 성능이 우수하지 않았다”면서 “표준사용면적, 탈취효율, 소음 등 주요 성능과 유지, 관리 비용을 종합적으로 고려해 공기청정기를 구매해야 한다”고 전했다.",6,0,0
올해 유가가 배럴당 35달러선을 유지할 것이란 정부의 예상과 달리 두바이유 평균 가격은 지난 7월 다시 52.84달러까지 상승했다.,14,3,0
자료= 한국감정원 전국의 주택 월세가격이 5개월째 보합세를 이어가고 있다.,5,2,0
가격은 아직 큰 움직임 없이 강보합세지만 특별법에 따라 사업이 가시화되면 상승 가능성은 높다는 분석이다.,0,2,3
"가격은 2.4 EX-L이 3470만원, 3.5 EX-L이 4160만원으로 기존과 동일하다.",0,2,0
"농심 새우깡, 43주년 맞아 ‘맛·포장’ 바뀌다…가격은 동일",2,2,0
물가안정 위해 고육책…연초부터 물가 기선제압 지자체 공공요금도 동결 유도…부처별 물가책임제 가동 정부가 내년 상반기 전기·도시가스 요금을 동결한다.,1,3,0
일련의 움직임은 '상품가격 인상은 허용하지만 원재료 가격은 제한하겠다'는 의미지만 실상은 정부가 전기료까지 모두 통제하겠다는 메시지다.,5,0,2
"문재인 대통령은 지난 12일 국무회의에서 ""공공요금 동결 등 생활물가 안정에 전력을 기울여 달라""고 언급해 사실상 가스 요금 동결에 힘을 실었다.",5,0,2
“웰킵스는 ‘코로나19’ 발생 이후에도 마스크 가격을 단 1원도 인상하지 않았다.,7,2,0
김범석 쿠팡 대표는 지난달 31일 직원들에게 레터를 보내 “손익을 따지기보다 고객이 힘들 때 우선 고객의 버팀목이 돼야 한다”며 마스크 가격을 계속 동결하겠다는 뜻을 밝혔다.,7,2,2
쌀값은 최근 풍년으로 인해 하락세다.,2,1,0
이 같은 가격은 2009년 3월 18일 1배럴에 46.04달러를 기록한 이후 최저칩니다.,14,1,0
리치몬드 연방은행의 제프리 래커 총재 역시 “낮은 장기금리는 인플레이션이 낮을뿐만 아니라 인플레이션 기대심리 역시 낮기 때문”이라고 강조했다.,1,1,1
정부는 각종 경기 지표들이 일제히 경기 하강을 예고하고 있어 금리 인하를 기대했지만 한국은행은 물가급등을 먼저 생각한 겁니다.,1,0,3
우선 후리스 전 상품에 대해 단독 특가 세일을 실시해 성인용 '후리스 풀짚 재킷'을 지난해보다 5000원 할인된 가격에서 추가 1만원 할인된 1만9900원에 구입할 수 있다.,4,1,0
특히 우유업체들은 원유 이외에 다른 원재료 가격 및 인건비 상승 등을 감안할 때 시판되는 마시는 우유의 경우 ℓ당 300~400원 인상이 불가피하다고 주장하고 있다.,2,0,3
올해 세아베스틸의 철스크랩 투입 가격은 전년 평균대비 27.6% 하락할 것으로 예상된다.,14,0,1
소비자물가상승률은 상반기 2.4%에서 하반기는 2.8%로 올라갈 전망이다.,1,3,3
버락 오바마 미국 대통령도 최근 청소년 건강 보호 차원에서 담배사업 규제법에 서명해 외부적 조건도 담뱃값 인상에 힘을 싣고 있다.,3,0,3
미국 경제는 디스 인플레이션 상황에 놓여 있고 유럽은 디플레이션 우려가 확산되고 있다.,1,1,1
FOMC는 경기가 작년 둔화된 이후 반등하고 있고 인플레이션은 완화됐다는 긍정적 전망을 내놨다.,1,2,2
이같은 지구 온난화가 계속되면서 기관마다 올 유가 전망치를 잇따라 내리고 있습니다.,14,0,1
올해 D램가격은 안정적일 것으로 본다.,17,2,2
이에 따라 중국은 CPI와 PPI가 모두 마이너스를 기록하며 디플레에 진입할 것으로 보인다.,1,0,1
최근 국제유가가 소폭 상승했지만 당분간 국내 기름값은 꾸준히 내려갈 전망이다.,8,1,1
"아이비클럽 관계자 ""출고가 5% 인하해서 소비자가격 10~20% 가량 내려갈 것으로 예측한다"" 지난해의 경우 24만원 안팎이었지만 올해는 19만원대면 구입할 수 있게된 것입니다.",4,1,1
주력 스마트폰의 경우 가격 변화가 거의 없을 것이라는 예상까지 내놓고 있다.,9,0,2
빙과류 가격도 조만간 인상될 전망이다.,2,0,3
유통업계에서는 이번 쌀 가격 급등 현상이 당분간 진정되기 힘들 것으로 보고 있다.,2,3,3
연준의 올해 금리인상 횟수 전망은 세 차례를 유지했고 물가 전망도 그대로 유지됐다.,1,0,2
다만 원유와 원자재 가격 상승 등으로 인해 소비자물가상승률 전망치는 0.3%포인트 높였습니다.,1,0,3
소비심리가 이처럼 내리막을 걷는데도 주택가격전망은 한 달 만에 역대 최고치를 경신했다.,15,0,3
"시장의 전망은 기대심리를 낳고, 기대심리는 가격에 반영되고, 가격이 역으로 정책 결정에 영향을 줄 수 있기 때문이다.",0,0,0
집값이 떨어질지에 대해서는 회의적인 반응이 많았다.,15,0,2
최근 원·달러 환율의 하락도 물가 상승 압력을 줄이고 있다.,1,2,2
국제유가가 급락세를 멈추고 반등할 수 있다는 기대감이 작용하고 있다.,14,1,3
"화학공업 제품은 유가 하락과 중국의 수요 부진으로 수출 감소세가 이어지고, 기계류는 중국, 베트남 등 주요 수출국의 경기 둔화로 수출 여건이 부정적이겠다고 기업들은 예측했다.",17,0,0
이에 따라 커피 소비자 가격도 낮아질 것으로 예상된다.,2,0,1
업계 관계자는 “아웃도어 업체들이 고어텍스 소재에 절대적으로 의존하고 있기 때문에 가격 거품 논란에서 벗어날 수 없었다”며 “컬럼비아스포츠의 기술이 대중화되고 상용화된다면 가격이 떨어질 수 있는 효과도 기대할 수 있다”고 말했다.,4,0,1
"양파·마늘 1만톤 시장격리 ""재배면적 증가, 가격하락 우려""",2,0,1
테슬라 모델3 높은 파워트레인 가격에 이익률 축소 예상,8,0,0
이 때문에 국제 유가 전문가들은 대부분 유가의 상승세를 점치고 있다.,14,0,3
"내년초 던힐 값은 그대로…안오르는 담배, 왜?",3,2,2
KT&G와 필립모리스는 내년부터 주요 제품의 담뱃값을 2000원 올려 4500~4700원에 판매한다.,3,0,3
프리미엄 수입 청바지 트루릴리전의 백화점 판매 가격대는 34만8000~61만5000원.,4,0,0
롯데마트도 처음처럼과 참이슬 가격을 1130원에서 1190원으로 인상한다.,3,3,0
농협이 소비자들의 김장비용 절약을 위해 대형마트보다 45%나 싼 가격에 배추를 내놓는다.,2,1,0
주력제품인 PVC 및 가성소다 가격 지속적인 상승,17,3,0
"롯데칠성음료는 오는 28일부터 칠성사이다, 펩시콜라, 게토레이 등 음료 가격을 인하한다고 25일 밝혔다.",2,1,0
선진국을 중심으로 교육용 전자칠판에 대한 수요가 증가할 것으로 판단되며 가격 인하가 수량 증가를 대폭 확대시켜 매출 증가를 견인할 가능성이 높다는 지적이다.,10,1,0
이 제품은 유럽에서 먼저 출시돼 큰 인기를 끌고 있는 제품이며 국내 출고가격이 기존 풀터치폰보다 최대 20만원 이상 싼 59만원이다.,9,1,0
가격은 1족에 5만원으로 같은 소재의 다른 스니커즈 대비 50~70% 저렴한 수준이다.,4,0,0
출시되자마자 큰 인기를 얻고 있는 마더케어 아쿠아패드는 25일부터 30일까지 정상가 보다 2만원 할인된 가격인 3만9900원에 판매한다.,6,1,0
이달 초에는 파리바게뜨가 일부 빵 제품 가격을 6.6% 인상하였다.,12,3,0
제주패스'는 특히 신용카드가 없는 외국인 관광객과 가격에 민감한 젊은 층 관광객들에게 각종 할인 혜택 등을 제공해 관광객들의 경제적인 부담을 덜어주는 것을 목표로 하고 있다.,12,0,0
이른바 'MB품목'으로 불리는 52개 생활필수품 중에서는 30개 품목이 전날보다 올라 정부의 물가 대책을 무색케 했다.,6,3,0
SK텔레콤 이용자의 경우 T인터렉티브 서비스를 통해 중고차 가격을 실시간 검색할 수 있다.,8,0,0
"서울과 수도권, 전국의 집값이 2년 3개월 만에 처음으로 일제히 동반하락했습니다.",15,1,0
또다른 일본차 브랜드 미쓰비시는 최대 90만원까지 가격인하 효과를 기대할 수 있다고 밝혔다.,8,1,0
동부증권은 KT&G 주가의 발목을 잡고있던 내년 담배값 1000원 인상이 어려울 것이라고 예상했다.,3,0,2
"가격이 급등한 담배나 양파, 급식비, 전세 등에 대해선 예민하지만 1년 전과 비교해 가격이 하락한 휘발유, 도시가스, 국제항공료, 배추, 풋고추 등은 크게 개의치 않는다는 것이다.",1,2,0
궐련형 전자담배 가격이 오를 가능성이 높아졌다.,3,0,3
"정우택 ""초고소득자 소득세 인상 긍정적""…한국당, 담배값 인하 법안 준비 중",3,0,1
또 담배가격이 인가제에서 신고제로 바뀐 2001년 이후 업체들이 판매 상황에 따라 가격을 올리거나 내린 적은 있지만 일시로 가격을 인하해 판촉에 나선 것은 이번이 처음이어서 경쟁업체에서도 비슷한 시도가 잇따를지 주목된다.,3,1,0
21도의 알코올 도수를 20도로 낮춘 이른바 '약한 소주' 신제품이 업체간 가격 인하 경쟁으로 옮겨질 전망입니다.,3,0,1
결국 두산측의 가격 인하가 시장점유율에 조금이라도 영향을 미친다면 소주업계 전체의 동반 가격인하는 불가피한 상황입니다.,3,0,1
"2015.12.7/ 뉴스1 © News1 김명섭 기자세븐일레븐 40원 ·CU 50원 인하…""빈병 보증금 인상분 만큼"" 장도민 기자 = 세븐일레븐과 씨유 등 국내 편의점들이 소주가격 인하를 공식화했다.",3,1,0
"소주나 맥주 등 주류는 물론 농수산물, 수입식품 등도 원재료나 도매가 인상폭이나 관세인하폭 대비 소비자 가격은 제각각이다.",0,0,0
"이보다 앞서 2010년 12월에는 라면, 소주 등 총 9품목에 대해 최대 24.1% 가격을 인하했다.",2,1,0
"먼저 주세법 개정안이 아직 국회 문턱을 넘지 못했죠?네, 내년부터 주류세 체계가 바뀌면서 맥주 가격이 인하될 것이란 이야기 들어보셨을 텐데요.지금까지 맥주에 매긴 세금은 제조원가의 72%였는데, 이걸 리터당 830.3원으로 통일하는 내용입니다.",3,0,1
주류도매상 외에도 수퍼체인유통사업협동조합도 오비맥주의 한시적 가격인하 계획을 철회할 것을 요구하고 나선 상태다.,3,1,0
5일 유통업계에 따르면 아사히 맥주를 수입하는 롯데아사히주류는 일부 편의점에 납품하는 맥주 제품 가격을 인하한 것으로 알려졌는데요.,3,1,0
"대표적인 행사 상품으로 에너지 음료 몬스터는 2900원에서 2000원, 롯데 빼빼로는 1000원에서 700원, 아사히 500ml 캔 맥주는 2개 구매하면 7800원에서 5400원, 애경 케라시스 샴푸린스 미니 세트는 3200원에서 2400원으로 가격이 인하된다.",2,1,0
FTA 발효 직후 소폭 인하됐던 명품 가격이 조금씩 다시 오르기 시작한 것이다.,13,3,0
정 열 기자 = 프랑스 고가 명품 브랜드 에르메스가 15일부터 제품 가격을 최대 10% 인하한다.,13,1,0
"옷값도 운동복과 등산복이 포함된 캐주얼 의류는 4.0%, 남자 정장·하의는 4.5% 뛰었다.",4,3,0
"가격은 옷의 보관상태와 브랜드, 계절 등에 따라 다르지만 티셔츠 3천~5천원, 겨울점퍼 5천~1만5천원, 청바지 2천~3천원, 가방 3천원선 등이다.",4,0,0
보통 의류는 기획업체-제조업체-유통업체를 거치며 각각의 단계에서 마진이 붙어 가격이 올라가지만 이마트가 다운점퍼 기획과 생산을 하여 유통구조를 줄여 가격을 크게 낮췄다.,4,1,0
고가 의류의 대명사인 모피 가격이 하반기 인상될 전망이다.,4,0,3
"에르메스는 이런 비판을 의식한 듯 최근 스카프, 넥타이, 신발, 의류 등 일부품목에 대해 소폭 가격 인하를 단행했다.",4,1,0
"통계청에 따르면 전기·가스요금이 오르는 가운데 식품, 가구, 의류가격이 뛰었고 외식비도 상승했다.",1,2,0
이케아는 앞으로도 낮은 가격을 유지하고 가격을 안정화하기 위해 밸류 체인 전반에 걸쳐 협력해 나갈 방침이다.,6,2,2
"아모레퍼시픽 중국 측은 ""이번에 공지한 제품 외에 가격 인하는 없다""면서 ""다른 브랜드인 마몽드의 경우 모든 제품이 중국에서 생산돼 관세의 영향을 받지 않는다""고 밝혔다.",13,2,0
"연맹에 따르면 이케아 한국 진출 후 한샘, 현대리바트, 까사미아 등 국내 3개 가구회사의 51개 제품 중 50개는 가격 변동이 없었다.",6,2,0
유한킴벌리는 2016년 6월 생리대 가격을 인상하려고 했다가 형편이 어려운 학생이 신발 깔창을 대신 사용하는 등 '깔창 생리대' 논란이 일자 이를 철회했다.,7,2,0
분석한 26개 품목 가운데 17개의 가격이 지난 1년 새 오르고 7개는 내렸으며 2개는 같았다.,0,3,0
다만 약값인상폭이 크진 않을 것으로 보인다.,7,0,2
"화이자는 앞서 지난 7월 40여개 품목의 약값인상을 추진했지만, 트럼프 대통령이 이를 맹비난하자 인상을 보류했었다.",7,2,0
"이랜드리테일 관계자는 ""이번 제품은 작년보다 아동복 구성이 늘어났고 성별과 연령대가 세분돼 다양한 디지인으로 출시됐다""며 ""품질은 개선됐고 가격은 그대로 유지돼 가성비를 즐길 수 있다""고 말했다.",4,2,0
가격도 비교적 높았던 키엘 수분크림은 위로 치고 올라가지 못했다.,13,2,0
"올해 1~9월 기준으로 생필품 가격 인상률, 인하율은 각각 18.9%, 13.1%로 지난해보다는 축소됐지만 과거에 비해서는 여전히 높은 수준이다.",6,3,0
서일본 지역을 중심으로 전국 1천개 점포를 운영 중인 드럭스토어 체인 '코스모스 약품'도 의약품과 생활용품의 가격을 낮춰 소비세율 인상 후에도 기존과 같은 가격을 유지할 계획입니다.,7,0,2
생산량이 충분해 마스크 가격도 온·오프라인에서 안정세가 유지됐다.,7,2,0
대형 마트들이 '행사' 또는 '할인'이라고 표시한 제품 상당수의 가격이 행사 전과 동일했습니다.,0,2,0
"이케아 ""최저임금 인상, 제품가격 상승에 직접 영향주지 않을 것""",6,0,2
"빙그레는 또 ""정찰제가 시행되면 할인폭이 크던 일부 소매점의 판매 가격이 올라가겠지만, 할인 없이 비싼 값에 판매하던 소매점의 가격은 낮아져 소비자가 부담하는 가격은 높아지지 않을 것""이라고 설명했다.",2,0,2
재규어랜드로버코리아는 랜드로버 콤팩트 SUV 레인지로버 '이보크'의 국내 판매 1만 대를 기념해 2019년형의 가격을 인하한다고 10일 밝혔다.,8,1,0
지적재산권 강화 및 국내 소프트웨어 산업 육성의 일환으로 공공부문에 공급되는 제품 가격이 큰 폭의 인상률을 기록했다.,10,3,0
"‘똑똑한 위생팬티’ 데이, 데이플러스, 나이트를 정상가보다 30% 할인된 가격에 제공하며, 파자마와 라운지웨어, 바디기어의 요가복 및 이지웨어 등을 최대 60%까지 할인한다.",4,1,0
생필품 가격 '껑충'… 세탁세제 한달새 6.6% 상승,6,3,0
일부 연결 지연돼 불편 겪기도숙박비 안정세 성수기값 유사평창올림픽이 개막하자 `1330 콜센터' 문의가 폭증하고 있다.,12,2,0
아이폰XR는 다른 2종의 새 아이폰에 비해 기능은 제한적이면서 가격은 이전 모델 중 여전히 인기가 높은 아이폰8 등보다 비싼 것이 패착 요인으로 꼽힌다.,9,3,0
애플의 이번 가격 인하는 아이폰XR 판매가 예상보다 훨씬 더 저조할 수 있음을 짐작케 하는 대목이다.,9,1,0
"SK텔레콤은 와이파이 모듈 제작 업체와 일괄 가격협의를 통해, 중소기업들이 기존 제품 대비 저렴한 가격에 품질이 보증된 모듈을 공급 받을 수 있게 했다.",17,1,0
"39개 품목 조사…계란 8.2%↓, 일회용 기저귀 1.9%↑ 11월 서울 생필품값 하락…계란 8.2%↓ 박성진 기자 = 지난달 서울 시내에서 판매된 생활필수품 10개 가운데 6개꼴로 가격이 한 달 전보다 내린 것으로 조사됐다.",2,1,0
태양광 모듈 가격 상승에 따른 단기 모멘텀이 기대된다는 증권사 분석이 영향을 끼친 것으로 보인다.,17,3,0
LNG선 발주량 증가에 따라 선박 가격 인상도 기대되면서 상반기에 제기된 '저가 수주' 우려도 해소될 것으로 전망됩니다.,17,0,3
해외여행·커피값 뛰면 물가 더 오른다,1,3,3
교복값 담합 첫 적발…짬짜미로 2만5000원 더 받았다,4,0,0
유명 교복 브랜드 대리점들이 입찰가격을 담합하다 적발됐습니다.,4,0,0
“온라인 여행사(OTA) 소비자불만 급증…가격·환불 정보 미흡”,10,0,0
"D램의 경우 출하량 증가 없이 평균 판매가격이 3·4분기보다 약 43% 떨어졌으며 낸드플래시 역시 출하량과 판매가격이 각각 37%, 18% 떨어졌다.",17,1,0
투본강 투어 전신마사지 1시간 서비스가 포함된 '베트남 다낭&호이안 3박 5일 패키지'의 경우 3만원 즉시 할인된 가격인 38만8000원부터 구매 가능하다.,10,1,0
특히 담뱃값 인상시에 복지 재원 확보라는 명분을 내세우지만 건강보험 지원 등 담배 세수가 흡연자의 건강보호가 아닌 다른 용도로 쓰인다고 주장하고 있다.,3,3,0
"국민은행은 규제 샌드박스를 통해 부수업무로 MVNO를 영위할 수 있도록 허가받았고, 금융거래 실적에 따라 5G 요금제를 통신 3사의 반값에 이용할 수 있는 서비스를 선보였다.",8,1,0
이코노미석 1인 왕복 항공권 가격은 세금·유류할증료 포함 최저 86만 4100원부터 시작하며 여행 가능 기간은 4월 30일까지다.,8,0,0
기존 항공사와 신규 저가 항공사의 치열한 가격 경쟁은 불가피해졌다.,8,0,1
본격적인 시판에 돌입하게 되면 신형 쏘나타가 중형차 시장에서 가격 면에서 직접적으로 상대해야 하는 경쟁상대는 '혼다 어코드'와 10월 말 출시될 '토요타 캠리'를 들 수 있다.,8,0,0
가격은 구형 아이패드와 같은 499달러부터 시작해 소비자의 부담을 크게 줄였다.,10,2,0
최근 주가 급락으로 싼 가격에 엔고와 반도체 가격 하락세 둔화로 밸류애이션 매력이 부각됐기 때문이다.,17,2,0
최근 주가 급락으로 싼 가격에 엔고와 반도체 가격 하락세 둔화로 밸류애이션 매력이 부각됐기 때문이다.,16,1,0
티켓몽키의 오픈과 함께 광주 전남 지역의 음식 문화 스파 뷰티 공연 문화 등 다양한 업체들이 함께하여 최상의 상품을 50% 이상 할인 된 가격으로 365일 만나볼 수 있다.,10,1,0
캐논컨슈머이미징코리아는 이달부터 EOS 5D 마크4 등 DSLR 카메라 등 인기 모델 3종과 렌즈 판매 가격을 인하한다고 2일 밝혔다.,10,1,0
사진=미건의료기 제공미건의료기가 오는 8월 20일까지 상반기 인기모델을 선정해 가격까지 시원한 여름 특가전을 진행한다.,7,1,0
업체 관계자는 “삼성의 갤럭시노트9 공개 일이 다가오면서 전 시리즈 모델 기준으로 출고가 하향 및 지원금 상향으로 가격이 대폭 인하했다.,9,1,0
에둘러 전기요금 인상 시사 김종갑 한국전력 사장이 전기요금을 연료가격 변동 등 시장 원칙에 따라 정하는 게 바람직하다는 입장을 두부 공장에 비유해 설명했다.,5,3,0
젊은 골퍼들의 눈높이에 맞춘 시크하면서도 세련된 디자인은 물론 기능성까지 갖춘 경제적 가격의 제품을 선보이고 있다.,10,0,0
롤렉스 제품 웨이팅을 걸어 놓았던 고객들 대다수가 가격인상 시점에 입고된 물건을 찾으면서 제대로 된 공지를 받지 못했고 차액을 지급해야만 했다.,13,3,0
실제로 아마존과 구글은 지난해 말 스마트 스피커 가격을 큰 폭으로 인하했다.,10,1,0
이 값이 100을 넘어서면 향후 수출여건이 개선을 전망하는 기업이 많다는 의미다.,0,0,0
학원가 ‘와르르’ 월급 10만원 병사들 '담뱃값 4500원'소식에 패닉,3,3,0
작년 S클래스 판매 돌풍을 일으켰던 메르세데스-벤츠였지만 올해는 공격적 마케팅에도 불구하고 판매가 부진하자 이 같은 가격 인하 전략으로 선회한 것.,8,1,0
전 팀장은 “파라자일렌은 일정 순도만 충족하면 가격으로 승부해야 하는 제품”이라며 “연료비를 줄인 덕분에 가격 경쟁력을 확보할 수 있었다”고 설명했다.,17,1,0
"길종섭 한국케이블TV방송협회장은 “올해 하반기 가상이동통신망사업자 기반 이동통신시장 진출로 통신·방송서비스의 가격과 품질에서 혁신을 이루고, 콘텐츠에 대한 투자열기를 이어가 ‘콘텐츠 르네상스시대’를 열자”고 업계와 함께 다짐했다.",9,0,0
반값 통신서비스가 가능한 건 몸집을 줄이고 광고비를 없앴기 때문이다.,9,1,0
印 이동통신비 초당 0.125원 '가격 혈전',9,1,0
로이터통신에 따르면 적정 약가 결정을 위해 약물의 유효성을 측정하는 임상경제평가연구소는 10일분 렘데시비르 생산 가격을 10달러로 판단했다.,7,0,0
일반적으로 소비자들은 통신사에서 휴대폰을 구매할 때 24개월 약정으로 단말기값을 할부로 내는 사례가 많다.,9,0,0
단말기 자급 제도가 정착되려면 통신사 대리점에서 구입할 때보다 휴대폰 가격이 싸야 한다.,9,0,1
이동통신사가 그동안 사실상 독점해온 휴대전화 시장에서 가격 인하 효과가 기대됩니다.,9,0,1
그렇다고 단말가격이 싸지거나 없어지는 것은 아니지 않습니까.” 국회를 선봉으로 이곳저곳에서 비싼 통신비를 인하하라며 뭇매를 맞고 있는 한 이동통신사 관계자의 하소연이다.,9,0,2
"전세값도 3%, 월세도 1.6% 상승했고, 미용료도 5% 오르는 등 통신비가 조금 감소한 것을 빼고는 모든 물가가 오른 것으로 나타났습니다.",1,3,0
정부가 통신비 가격 인하를 위해서 개입과 간섭을 하는 것 자체가 반시장적인 산업 생태계 훼손이다.,9,0,2
이철희 의원은 또 “단말기 가격이 상대적으로 많이 오르고 있고 통신비는 소비자물가지수에 비하면 안정적이다”며 “지난해 기준으로 4조원 가까이 되는 판매장려금도 소비자에게 혜택이 돌아가도록 유도하는데 행정력이 집중됐으면 좋겠다”고 말했다.,9,3,0
스마트폰 가격이 고공행진을 이어가면서 통신비 상승의 주범으로 지목되고 있습니다.,9,3,0
최 장관이 통신비 인하를 어렵다고 한 이유는 단말기 값 때문이다.,9,0,2
결국 통신비 부담을 줄이려면 단말기 가격을 낮춰야 한다는 얘기다.,9,3,1
LCD 패널 가격도 하락할 것으로 관측.,17,0,1
아이파크백화점은 영창뮤직이 매입해 장인이 직접 수리와 외장 작업을 마친 중고 피아노를 신제품의 절반 가격에 선보인다고 밝혔다.,10,1,0
가격의 부담도 적으면서 전망이 좋은 보홀 섬에서 숙소를 찾기 원한다면 오션 스위트 호텔로 가보자.,12,0,0
"우선 오는 28일부터 오는 5월 29일까지 중국인 고객들에게 인기가 높은 화장품, 패션의류 등 총 100개 브랜드의 상품을 구매하고 여권을 제시하는 중국인과 외국인 고객들에게 10%에서 최대 30%까지 가격할인을 진행한다.",4,1,0
"제지업계 관계자는 ""국내 주요 공산품 가격이 대부분 50%부터 2배 이상까지 올랐는데 종이 가격만 제자리 걸음을 하고 있다""며 ""상승하는 원부자재 가격이 제품 가격에 반영돼야 인쇄용지업계도 한숨을 돌릴 수 있을 것""이라고 밝혔다.",14,3,0
수리 공임이나 부품가격을 국산차 수준으로 내린 때문이다.,8,1,0
건강기능식품에서 개선되었으면 하는 점으로는 ‘부담스러운 가격’을 가장 많이 꼽았다.,2,3,0
"연맹측은 ""완구류는 유통채널별 가격차이가 커 구입전 가격에 대한 충분한 조사가 필요하다""며 ""특히 해외직구는 국내보다 비싼 경우가 많아 주의해야 한다""고 조언했다.",10,0,0
이와 함께 시는 개인서비스업과 주요생필품 가격조사를 통해 부당한 가격 인상을 막고 소비자들의 불편부당한 피해 사례는 적극 해결 상거래 질서 확립에 나설 것이라고 밝혔습니다.,13,0,2
이마트 관계자는 “같은 스펙의 자전거가 100만원대 중반에 판매되고 있다”면서 “이마트는 높은 수준의 부품을 사용하는 동시에 기존 보급형 전기자전거 보다 가격을 낮춰 선보인다”고 설명했다.,10,1,0
업계에서는 아이폰SE가 높은 가격 때문에 국내에서 큰 인기를 끌지 못할 것으로 예상한다.,9,3,0
선루프가 장착된 신형 캠리세단의 경우 최근 차값 2만1000달러에 할부 대출이자 0%에 판매되고 있다.,8,0,0
신형 렌즈는 초점 거리 70mm부터 200mm까지 전체 줌 영역에서 f/2.8의 최대 개방 조리개 값을 지원해 배경 흐림 표현에 효과적이며 빠르고 정확한 AF 성능을 구현한다.,10,0,0
스즈키코리아는 우수한 성능과 합리적인 가격을 겸비한 '올 뉴 어드레스 125'를 6월 국내 정식 출시하고 이를 기념해 프로모션을 시행한다고 밝혔다.,8,0,0
이한용 기자= 대만 주요 업체들이 오는 3.4분기에 DVD 디스크 가격을 10% 인상할 계획이라고 전자시보가 16일 보도했다.,17,0,3
"정부는 지금까지 소비자물가 상승률을 밑돌며 안정적인 수준을 유지하던 도시철도, 상수도, 하수도 등 지방 공공요금에 대한 모니터링을 강화하기로 했다.",1,2,3
"정부는 지금까지 소비자물가 상승률을 밑돌며 안정적인 수준을 유지하던 도시철도, 상수도, 하수도 등 지방 공공요금에 대한 모니터링을 강화하기로 했다.",5,2,3
"한국은행 “주택 매매·전세가격 상승 둔화, 가계 대출 증가폭도 줄어”",5,2,0
"정부 복지정책 확대 언급했는데 전기료 인하 등 효과 얼마나 있는지, 그 외 물가 상승압력을 낮출 요인은.",1,3,0
"지난달 이동통신 요금물가지수가 역대 최저를 기록했지만, 휴대전화기 물가지수는 최고를 기록해 상반된 추세를 보였습니다.",9,2,0
브이푸드맨프로그램 우먼프로그램 실버프로그램 청소년프로그램 등 천연원료로 만든 멀티비타민미네랄 제품들은 15% 할인된 가격에 판매한다.,7,1,0
경쟁업체들도 골든듀 행보에 가세하려는 기류가 강해 가격인상은 시간문제로 보인다.,13,0,3
"옥션과 G마켓, G9를 운영하는 이베이코리아 역시 '빅스마일데이' 할인 행사 기간에는 가격을 수정할 수 없도록 하고 행사 직전 일정 기간의 최저가 이상으로는 가격을 높이지 못하는 정책을 도입했다.",1,2,0
